Rank,Name,Pop2021,Pop2020,GrowthRate,Area,Density
1,China,1444216.107,1439323.776,1.0034,9706961,147.7068
2,India,1393409.038,1380004.385,1.0097,3287590,415.629
3,United States,332915.073,331002.651,1.0058,9372610,35.1092
4,Indonesia,276361.783,273523.615,1.0104,1904569,142.0928
5,Pakistan,225199.937,220892.34,1.0195,881912,245.5634
6,Brazil,213993.437,212559.417,1.0067,8515767,24.7834
7,Nigeria,211400.708,206139.589,1.0255,923768,217.5477
8,Bangladesh,166303.498,164689.383,1.0098,147570,1104.8734
9,Russia,145912.025,145934.462,0.9998,17098242,8.5314
10,Mexico,130262.216,128932.753,1.0103,1964375,64.9446
11,Japan,126050.804,126476.461,0.9966,377930,335.6714
